vdw_corr,stacking,disregistry,d,energy
dft-d3,Mid,0.5,3.78,-154.88718947631884
dft-d3,Mid,0.5,3.79,-154.8871431149223
dft-d3,Mid,0.5,3.8,-154.88708920236658
dft-d3,Mid,0.5,4.0,-154.8854318589733
dft-d3,Mid,0.5,4.5,-154.88029683259967
dft-d3,Mid,0.5,5.0,-154.8762787655354
dft-d3,Mid,0.5,6.0,-154.87238951036298
dft-d3,Mid,0.5,7.0,-154.87120908049903
dft-d3,AA,0.66667,3.0,-154.85146058819674
dft-d3,AA,0.66667,3.2,-154.8719628698667
dft-d3,AA,0.66667,3.21,-154.87272904041433
dft-d3,AA,0.66667,3.22,-154.87346000623313
dft-d3,AA,0.66667,3.23,-154.87415729796354
dft-d3,AA,0.66667,3.24,-154.87482166391854
dft-d3,AA,0.66667,3.25,-154.87545327416933
dft-d3,AA,0.66667,3.26,-154.8760527749863
dft-d3,AA,0.66667,3.27,-154.8766277855571
dft-d3,AA,0.66667,3.28,-154.87718874825066
dft-d3,AA,0.66667,3.29,-154.87772875817802
dft-d3,AA,0.66667,3.3,-154.87825563861236
dft-d3,AA,0.66667,3.31,-154.87876387924823
dft-d3,AA,0.66667,3.32,-154.8792455887841
dft-d3,AA,0.66667,3.33,-154.8797006651773
dft-d3,AA,0.66667,3.34,-154.88013067308245
dft-d3,AA,0.66667,3.35,-154.88053673496913
dft-d3,AA,0.66667,3.36,-154.88091912295124
dft-d3,AA,0.66667,3.37,-154.88127753090066
dft-d3,AA,0.66667,3.38,-154.88161386361432
dft-d3,AA,0.66667,3.39,-154.8819378491622
dft-d3,AA,0.66667,3.4,-154.8822550998924
dft-d3,AA,0.66667,3.41,-154.8825599694426
dft-d3,AA,0.66667,3.42,-154.8828601790432
dft-d3,AA,0.66667,3.43,-154.8831462047096
dft-d3,AA,0.66667,3.44,-154.8834126721933
dft-d3,AA,0.66667,3.45,-154.8836600236793
dft-d3,AA,0.66667,3.46,-154.8838896877653
dft-d3,AA,0.66667,3.47,-154.88410210663636
dft-d3,AA,0.66667,3.48,-154.8842968721216
dft-d3,AA,0.66667,3.49,-154.88447456246305
dft-d3,AA,0.66667,3.5,-154.88463800084185
dft-d3,AA,0.66667,3.51,-154.88479854801096
dft-d3,AA,0.66667,3.52,-154.88495593185664
dft-d3,AA,0.66667,3.53,-154.88510838363885
dft-d3,AA,0.66667,3.54,-154.885260087108
dft-d3,AA,0.66667,3.55,-154.88540042982407
dft-d3,AA,0.66667,3.56,-154.88552607839247
dft-d3,AA,0.66667,3.57,-154.88563761105513
dft-d3,AA,0.66667,3.58,-154.88573669450926
dft-d3,AA,0.66667,3.59,-154.88582339678345
dft-d3,AA,0.66667,3.6,-154.88589696956458
dft-d3,AA,0.66667,3.61,-154.88595741285263
